Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF","CP_Elec_6.3x7.7",139.142000,-87.350000,180.000000,top
"C2","1uF","CP_Elec_4x5.3",163.272000,-81.000000,-90.000000,top
"C3","100n","C_0603_1608Metric",162.510000,-89.382000,0.000000,top
"C4","100n","C_0603_1608Metric",146.635000,-89.382000,0.000000,top
"C5","100n","C_0603_1608Metric",145.225000,-84.556000,0.000000,top
"C6","100n","C_0603_1608Metric",139.835999,-78.994000,90.000000,top
"C9","100n","C_0603_1608Metric",139.835999,-75.933000,-90.000000,top
"C10","100n","C_0603_1608Metric",133.046000,-90.131000,90.000000,top
"R1","120","R_1206_3216Metric",140.158000,-100.304000,180.000000,top
"R2","4k7","R_0603_1608Metric",143.460000,-71.060000,-90.000000,top
"R3","4k7","R_0603_1608Metric",140.994702,-71.060000,-90.000000,top
"R4","4k7","R_0603_1608Metric",138.380000,-71.019392,-90.000000,top
"R5","4k7","R_0603_1608Metric",153.620000,-65.404400,0.000000,top
"R6","4k7","R_0603_1608Metric",148.387600,-65.404400,0.000000,top
"R7","100R","R_0603_1608Metric",163.780000,-70.996094,90.000000,top
"R8","100R","R_0603_1608Metric",161.270000,-70.996094,90.000000,top
"R9","100R","R_0603_1608Metric",158.760000,-70.996094,90.000000,top
"R10","100R","R_0603_1608Metric",156.160000,-71.059094,90.000000,top
"R11","100R","R_0603_1608Metric",153.530000,-71.059094,90.000000,top
"R12","100R","R_0603_1608Metric",151.020000,-71.059094,90.000000,top
"R13","100R","R_0603_1608Metric",148.510000,-71.059094,90.000000,top
"R14","100R","R_0603_1608Metric",146.000000,-71.059094,90.000000,top
"U1","AS5600","SO-8_3.9x4.9mm_P1.27mm",146.000000,-81.000000,180.000000,top
"U2","SP3485CN","SOIC-8_3.9x4.9mm_P1.27mm",129.286800,-87.604000,-90.000000,top
"U3","STM32C031C6T6","LQFP48-7x7mm_STM",133.485999,-77.444000,180.000000,top
"VREG1","LD1117-3.3","SOT-223-3_TabPin2",155.652000,-80.746000,0.000000,top
"X4","JTAG","PinHeader_1x04_P2.54mm_Vertical",154.890000,-62.712000,-90.000000,top
"X5","DEBUG","PinHeader_1x03_P2.54mm_Vertical",136.363000,-62.687000,90.000000,top
