Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","CP_Radial_D6.3mm_P2.50mm",155.374000,-88.011000,0.000000,top
"C2","220uF","CP_Radial_D10.0mm_P5.00mm",155.130000,-119.302677,90.000000,top
"C3","100n","C_0603_1608Metric",109.410000,-111.855000,0.000000,top
"D1","SS16","D_SMA",84.254000,-104.267000,90.000000,top
"D2","SS16","D_SMA",111.315000,-73.755000,90.000000,top
"D3","SS16","D_SMA",84.645000,-73.755000,90.000000,top
"DL2","POW","LED_0805_2012Metric",84.645000,-67.405000,-90.000000,top
"J1","POWER","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",77.660000,-101.695000,-90.000000,top
"J2","FEED","PinHeader_1x04_P2.54mm_Vertical",76.422500,-92.795000,180.000000,top
"J3","SERVO","PinHeader_1x03_P2.54mm_Vertical",76.422500,-77.550000,180.000000,top
"J4","GPIO","PinHeader_1x02_P2.54mm_Vertical",76.422500,-63.595000,180.000000,top
"J5","L-CELL","PinHeader_1x04_P2.54mm_Vertical",135.255000,-97.155000,90.000000,top
"J6","L-CELL","PinHeader_1x06_P2.54mm_Vertical",132.705000,-72.390000,90.000000,top
"J7","L-CELL","TBL002A-350-06GR-2OR",147.982000,-57.531000,180.000000,top
"JP1","PROG","PinHeader_1x02_P2.54mm_Vertical",155.115000,-80.899000,90.000000,top
"K1","FINDER-36.11","Relay_SPDT_Finder_36.11",89.930000,-69.850000,0.000000,top
"Q1","BC817","SOT-23",111.315000,-67.405000,-90.000000,top
"R1","120","R_1206_3216Metric",103.125000,-109.630500,-90.000000,top
"R2","4k7","R_0805_2012Metric",99.823000,-105.759000,-90.000000,top
"R3","4k7","R_0805_2012Metric",99.823000,-110.227500,-90.000000,top
"R4","4k7","R_0805_2012Metric",111.315000,-60.117500,180.000000,top
"R5","100R","R_0805_2012Metric",103.060000,-120.095000,0.000000,top
"R6","100k","R_0805_2012Metric",111.315000,-62.657500,180.000000,top
"R7","4k7","R_0805_2012Metric",110.045000,-83.915000,0.000000,top
"R8","100R","R_0805_2012Metric",84.645000,-63.595000,-90.000000,top
"R9","4k7","R_0805_2012Metric",110.045000,-86.455000,0.000000,top
"R10","4k7","R_0805_2012Metric",110.045000,-88.995000,0.000000,top
"R11","4k7","R_0805_2012Metric",110.045000,-91.535000,0.000000,top
"U1","ESP32-DevKitC","ESP32-DevKitC",163.385000,-76.930000,0.000000,top
"U3","DCDC-5V3A","DCDC-5V3A",139.255000,-112.903000,180.000000,top
"U4","SP3485CN","SOIC-8_3.9x4.9mm_P1.27mm",109.475000,-108.045000,180.000000,top
"U5","L7805 n.m.","TO-220-3_Vertical",137.086000,-117.475000,0.000000,top
