Ref,Val,Package,PosX,PosY,Rot,Side
"C3","100n","C_0603_1608Metric",109.410000,-111.855000,0.000000,top
"D1","SS16","D_SMA",84.254000,-104.267000,90.000000,top
"D2","SS16","D_SMA",111.315000,-73.755000,90.000000,top
"D3","SS16","D_SMA",84.645000,-73.755000,90.000000,top
"DL2","POW","LED_0805_2012Metric",84.645000,-67.405000,-90.000000,top
"Q1","BC817","SOT-23",111.315000,-67.405000,-90.000000,top
"R1","120","R_1206_3216Metric",103.125000,-109.630500,-90.000000,top
"R2","4k7","R_0805_2012Metric",99.823000,-105.759000,-90.000000,top
"R3","4k7","R_0805_2012Metric",99.823000,-110.227500,-90.000000,top
"R4","4k7","R_0805_2012Metric",111.315000,-60.117500,180.000000,top
"R5","100R","R_0805_2012Metric",103.060000,-120.095000,0.000000,top
"R6","100k","R_0805_2012Metric",111.315000,-62.657500,180.000000,top
"R7","4k7","R_0805_2012Metric",110.045000,-83.915000,0.000000,top
"R8","100R","R_0805_2012Metric",84.645000,-63.595000,-90.000000,top
"R9","4k7","R_0805_2012Metric",110.045000,-86.455000,0.000000,top
"R10","4k7","R_0805_2012Metric",110.045000,-88.995000,0.000000,top
"R11","4k7","R_0805_2012Metric",110.045000,-91.535000,0.000000,top
"U4","SP3485CN","SOIC-8_3.9x4.9mm_P1.27mm",109.475000,-108.045000,180.000000,top
